 topology_rogers_ca.pktDropper_Victoria_Vancouver (#0 - Scenario1VicVan-0-20180714-13:52:40-22352),
3019,30.18999999999999757
3024.488,30.24399999999999962
3030.416,30.3039999999999948
3037.568,30.375
3046.011,30.4600000000000007
3052.039,30.5199999999999959
3060.618,30.6060000000000015
3066.067,30.6599999999999965
3074.54,30.7449999999999973
3078.777,30.78699999999999892
3085.013,30.8500000000000013
3091.472,30.91400000000000137
3095.316,30.9529999999999957
3099.692,30.995999999999995
3102.667,31.02599999999999612
3111.585,31.11499999999999475
3112.152,31.120999999999995
3121.789,31.21699999999999862
3124.516,31.2449999999999973
3128.35,31.28300000000000112
3133.127,31.33099999999999582
3141.044,31.4099999999999965
3149.166,31.49099999999999962
3154.455,31.5439999999999968
3159.255,31.59199999999999862
3164.935,31.6490000000000008
3168.863,31.68799999999999515
3178.119,31.78099999999999867
3186.48,31.86399999999999707
3187.19,31.870999999999995
3190.564,31.90500000000000102
3191.435,31.91400000000000137
3197.917,31.97899999999999912
3198.119,31.9810000000000015
3201.801,32.01800000000000057
3210.127,32.100999999999999
3219.699,32.19599999999999782
3227.481,32.2740000000000008
3228.885,32.28799999999999657
3237.585,32.375
3246.286,32.4620000000000032
3256.072,32.56000000000000217
3260.808,32.60799999999998975
3268.8,32.68800000000000225
3276.809,32.76800000000000057
3281.424,32.8139999999999928
3286.629,32.86599999999999962
3294.434,32.9440000000000025
3301.223,33.01200000000000032
3302.406,33.0240000000000008
3309.612,33.0959999999999893
3316.011,33.1599999999999965
3321.831,33.21800000000000342
3323.265,33.23199999999999925
3328.639,33.28600000000000125
3338.086,33.37999999999999532
3345.672,33.45600000000000295
3350.89,33.5079999999999955
3351.949,33.51899999999999112
3356.096,33.56000000000000217
3360.832,33.60799999999998975
3363.478,33.63400000000000025
3365.341,33.6529999999999915
3373.083,33.72999999999998962
3380.452,33.80400000000000192
3385.014,33.84999999999999415
3387.18,33.870999999999995
3392.864,33.92799999999999717
3394.216,33.94199999999999295
3394.404,33.94400000000000245
3397.645,33.975999999999999
3403.821,34.03799999999999657
3405.318,34.05299999999999717
3411.439,34.11399999999999
3413.662,34.13599999999999557
3419.831,34.19799999999999317
3423.696,34.23599999999998987
3433.133,34.33100000000000295
3442.159,34.42099999999999212
3448.977,34.48899999999999
3453.476,34.53399999999999167
3457.071,34.56999999999999307
3463.202,34.63199999999999065
3467.572,34.674999999999997
3476.595,34.7650000000000004
3483.571,34.83499999999999362
3484.564,34.84499999999999875
3485.166,34.850999999999999
3494.864,34.94799999999999315
3501.532,35.0150000000000004
3508.063,35.07999999999999815
3514.769,35.1469999999999912
3516.478,35.16400000000000132
3518.582,35.18500000000000217
3522.164,35.22099999999998927
3523.453,35.23399999999999455
3530.96,35.3089999999999973
3534.114,35.34099999999999387
3540.192,35.40099999999999612
3543.829,35.43800000000000225
3547.079,35.46999999999999875
3552.781,35.5270000000000009
3553.165,35.5309999999999915
3557.551,35.5750000000000027
3563.894,35.6379999999999909
3573.778,35.73699999999999465
3583.367,35.83299999999999827
3584.387,35.8430000000000034
3590.915,35.90899999999999167
3593.004,35.9299999999999925
3599.355,35.99299999999999482
3600.968,36.0090000000000002
3610.921,36.10899999999999455
3617.452,36.1739999999999922
3623.271,36.23199999999999925
3625.804,36.25799999999999545
3629.948,36.2989999999999922
3634.611,36.34599999999998927
3639.358,36.3930000000000005
3641.802,36.41799999999999202
3648.037,36.47999999999998957
3649.627,36.49599999999999492
3653.007,36.530000000000001
3654.111,36.54099999999999665
3660.859,36.60799999999998967
3667.422,36.6739999999999922
3670.594,36.70499999999999815
3671.976,36.71899999999999392
3679.759,36.7969999999999969
3681.725,36.81699999999999295
3691.221,36.91199999999999177
3694.908,36.94899999999999787
3701.533,37.0150000000000004
3709.743,37.09699999999999405
3709.879,37.0979999999999988
3710.85,37.10799999999998967
3717.078,37.17000000000000155
3725.457,37.25399999999999052
3732.194,37.32099999999999775
3733.155,37.3310000000000029
3742.874,37.42799999999999707
3752.639,37.52599999999999612
3761.421,37.61399999999999
3766.108,37.66100000000000117
3771.204,37.71200000000000315
3780.972,37.80899999999999727
3781.529,37.81499999999999755
3787.577,37.875
3792.089,37.92000000000000155
3799.482,37.99399999999999957
3799.682,37.99599999999999492
3800.074,38
3804.491,38.04399999999999677
3807.319,38.07299999999999315
3817.115,38.17099999999999207
3818.317,38.18299999999999265
3821.911,38.21899999999999392
3824.872,38.24799999999999025
3829.681,38.29599999999999207
3830.868,38.30799999999999265
3837.755,38.37699999999999515
3840.935,38.40899999999999165
3849.74,38.4969999999999997
3853.883,38.53799999999999655
3863.065,38.6299999999999953
3863.706,38.63700000000000032
3865.874,38.65800000000000112
3872.799,38.72699999999998945
3878.451,38.78399999999999165
3884.117,38.84099999999999382
3892.768,38.92699999999999237
3895.422,38.95399999999999337
3900.512,39.0049999999999953
3905.744,39.05700000000000195
3914.911,39.14900000000000077
3915.85,39.15800000000000112
3925.062,39.25
3930.821,39.30799999999999265
3931.652,39.31600000000000232
3940.945,39.40899999999999165
3943.722,39.43699999999999742
3946.908,39.46899999999999392
3947.002,39.46999999999999875
3953.676,39.53600000000000117
3962.099,39.6199999999999902
3963.417,39.6340000000000002
3969.889,39.69799999999999315
3977.052,39.76999999999999582
3985.466,39.85399999999999912
3988.36,39.88299999999999545
3991.007,39.90999999999999645
3992.839,39.92799999999999707
3996.817,39.96800000000000337
